ethereum 	Yay, more state channel stuff!https://medium.com/@graycoding/lessons-learned-from-making-a-chess-game-for-ethereum-6917c01178b6#.w7cj8iwg0 …	VitalikButerin	90	43	1472881801	771948343698268160	https://twitter.com/VitalikButerin/status/771948343698268160		#	@graycoding
	What narrative are you trying to present? @BjorkmanJesper @ realDonaldTrump	haydentiff	0	2	1472874604	771918153957990400	https://twitter.com/haydentiff/status/771918153957990400			@BjorkmanJesper @
	Can't imagine why! Lol. @ ChuckBaggett @BjorkmanJesper @ realDonaldTrump	haydentiff	0	2	1472874531	771917849757638656	https://twitter.com/haydentiff/status/771917849757638656			@ @BjorkmanJesper @
	I wonder if he's even aware of the Detroit race riot of 1943? Was that great too? @BjorkmanJesper @ realDonaldTrump	haydentiff	2	3	1472874333	771917019016994816	https://twitter.com/haydentiff/status/771917019016994816			@BjorkmanJesper @
	Trump was reminiscing about the America First Policy which started in 1940. @BjorkmanJesper @ realDonaldTrump	haydentiff	2	3	1472874049	771915826853253121	https://twitter.com/haydentiff/status/771915826853253121			@BjorkmanJesper @
	Here's a less goofy one. @SearchForNorthpic.twitter.com/s4KesmFP42	haydentiff	24	8	1472870879	771902531366715393	https://twitter.com/haydentiff/status/771902531366715393			@SearchForNorthpic
	Maybe the sun made them sneeze? It does that to me. @bradleymthomas @SearchForNorth	haydentiff	2	3	1472870737	771901936861868032	https://twitter.com/haydentiff/status/771901936861868032			@bradleymthomas @SearchForNorth
	@SearchForNorthpic.twitter.com/50XwqhtnvE	haydentiff	6	4	1472870437	771900678071607297	https://twitter.com/haydentiff/status/771900678071607297			@SearchForNorthpic
	This is my question for @ realDonaldTrump while he's in # Detroit tomorrow. I'm not sure when America was so great...pic.twitter.com/kcd7K1k3eC	haydentiff	14	6	1472869162	771895331655151616	https://twitter.com/haydentiff/status/771895331655151616		#	@
	Almost 1 in 4 jobs require some sort of license. Regulations are a job killing parasite. @ retinaguy	haydentiff	8	5	1472864609	771876234540281860	https://twitter.com/haydentiff/status/771876234540281860			@
	What jobs? $260M is going toward demolishing homes (at inflated prices) rather than helping people keep them.https://twitter.com/agreatercountry/status/770433012697800704 …	haydentiff	3	3	1472864519	771875854464978944	https://twitter.com/haydentiff/status/771875854464978944			
	Ford hired people to exploit their black networks -churches were especially fruitful. Will this church receive $$$?https://twitter.com/ChadLivengood/status/771837322253987840 …	haydentiff	4	4	1472861247	771862133621583872	https://twitter.com/haydentiff/status/771862133621583872			
	Why are they appeasing Putin? How did he make them do this?https://twitter.com/AP/status/772141213034110976 …	stacyherbert	35	20	1472929376	772147887992147970	https://twitter.com/stacyherbert/status/772147887992147970			
	Silent version of Dancing in the Streets. https://youtu.be/BHkhIjG0DKc # lol	stacyherbert	19	10	1472922156	772117601661181954	https://twitter.com/stacyherbert/status/772117601661181954		#	
	I know how you feel - I survived Northridge. Left town for good just weeks later. # NeverAgain	stacyherbert	2	0	1472913534	772081439756148736	https://twitter.com/stacyherbert/status/772081439756148736		#	
	I know, latest numbers out show all that cheaper gasoline merely resulted in more car miles driven. Pointless waste.	stacyherbert	1	0	1472908583	772060674004574208	https://twitter.com/stacyherbert/status/772060674004574208			
	freudian?	stacyherbert	0	0	1472908002	772058235624755200	https://twitter.com/stacyherbert/status/772058235624755200			
	Do you notice anything unusual about the number of earthquakes per month in Oklahoma? Chart goes back 45 years.pic.twitter.com/tKyWZXqBhU	stacyherbert	114	161	1472907947	772058007136006144	https://twitter.com/stacyherbert/status/772058007136006144			
	indeed; here is chart going back 45 years in Oklahoma. Looks normal.pic.twitter.com/DMD8Umkps0	stacyherbert	1	0	1472907685	772056908614303744	https://twitter.com/stacyherbert/status/772056908614303744			
	wow	stacyherbert	0	0	1472907587	772056496536453120	https://twitter.com/stacyherbert/status/772056496536453120			
	Biggest ever earthquake hits totally # fracked up Oklahomahttp://www.usatoday.com/story/news/2016/09/03/56-magnitude-quake-rocks-oklahoma/89824558/ …	stacyherbert	44	91	1472907308	772055327399370752	https://twitter.com/stacyherbert/status/772055327399370752		#	
	But . . . but . . . I thought # fracking had no negative consequences?https://twitter.com/USATODAY/status/772054739819327488 …	stacyherbert	30	30	1472907257	772055113674420224	https://twitter.com/stacyherbert/status/772055113674420224		#	
	lol, there are no joggers in Shoreditch. Perhaps a few runners . . . fleeing police and whatnot.	stacyherbert	1	0	1472902016	772033128944766977	https://twitter.com/stacyherbert/status/772033128944766977			
	okay, just send me your address and I'll post it to you. I hope it doesn't get lost in the mail like Hillary's computer though	stacyherbert	0	0	1472900812	772028080894382080	https://twitter.com/stacyherbert/status/772028080894382080			
	yeah yeah yeah, and Twitter has a bunch of nags. The Brits complain when I write 'sidewalk,' the Yanks when I write 'pavement.'	stacyherbert	1	0	1472899193	772021289959686144	https://twitter.com/stacyherbert/status/772021289959686144			
	prove it. Any unique features?	stacyherbert	0	0	1472898995	772020460259250177	https://twitter.com/stacyherbert/status/772020460259250177			
	yep. Just used it to buy overpriced hipster coffee thus contributing to velocity of money.pic.twitter.com/9lVNk3xMEW	stacyherbert	1	0	1472898859	772019889817186304	https://twitter.com/stacyherbert/status/772019889817186304			
	Just found this on sidewalk in Shoreditchpic.twitter.com/EFWwuH5HjE	stacyherbert	21	1	1472898605	772018823310475264	https://twitter.com/stacyherbert/status/772018823310475264			
	# MEGAhttps://twitter.com/liarpoliticians/status/772006352965234688 …	stacyherbert	7	0	1472895667	772006499212267520	https://twitter.com/stacyherbert/status/772006499212267520		#	
	the south has been having problems with their contractual obligations to private prison operators for human meat to fill cells	stacyherbert	3	1	1472895634	772006361471352832	https://twitter.com/stacyherbert/status/772006361471352832			
	# KeiserReport has been warning of this for the past few months once the disconnection first took placehttps://twitter.com/BV/status/771879011840561152 …	stacyherbert	14	23	1472894995	772003682523242496	https://twitter.com/stacyherbert/status/772003682523242496		#	
	Shoreditch pavementpic.twitter.com/tmRttGiB2L	stacyherbert	8	5	1472890386	771984349008916480	https://twitter.com/stacyherbert/status/771984349008916480			
	Thanks Carla - Have an amazing weekend everyone !!	sallyeaves	5	1	1472878530	771934621063872512	https://twitter.com/sallyeaves/status/771934621063872512			
	thanks Mary, means very much to me!	sallyeaves	1	0	1472878394	771934052442116096	https://twitter.com/sallyeaves/status/771934052442116096			
	Happy to see slide #7https://twitter.com/avtarsehra/status/771990642217979904 …	barrysilbert	19	13	1472903515	772039417355796480	https://twitter.com/barrysilbert/status/772039417355796480		#7https	
	Join us here--> http://buff.ly/1TFC7sO # Anarchism # Voluntaryism # Communism # Socialismpic.twitter.com/GO2z1kOLo5	DollarVigilante	7	4	1472932783	772162174127054848	https://twitter.com/DollarVigilante/status/772162174127054848		# # # #	
	Anarchast With Edward Stringham: # Police Violence Versus Private Governance https://www.dollarvigilante.com/blog/2016/08/27/anarchast-edward-stringham-police-violence-versus-private-governance.html …pic.twitter.com/9VGWJjl9GR	DollarVigilante	6	1	1472930400	772152181629779969	https://twitter.com/DollarVigilante/status/772152181629779969		#	
	# TDV # Quotes Subscribe--> http://buff.ly/1TFC7sO pic.twitter.com/xK8tEjdnOE	DollarVigilante	7	2	1472924558	772127679252430848	https://twitter.com/DollarVigilante/status/772127679252430848		# #	
	Fire Investigator Trainer Blows the Whistle on Smart Technology Causing Fires http://snip.ly/z9q24 # Activism	DollarVigilante	8	0	1472924050	772125546482466817	https://twitter.com/DollarVigilante/status/772125546482466817		#	
	ALERT: U.S. CDC Giving Itself Unconstitutional POWERS To Round Up And Detain Citizens En Masse Anytime, Anywhere And Throw Away The Key …	DollarVigilante	12	11	1472923604	772123676871360512	https://twitter.com/DollarVigilante/status/772123676871360512			
	Central Banks are Printing to Avert a Global Meltdown # Banking # Gold https://www.dollarvigilante.com/blog/2016/04/13/central-banks-printing-avert-global-meltdown-gold-miners-start-melt.html …pic.twitter.com/4DWo1JXAPD	DollarVigilante	12	3	1472919618	772106959055155204	https://twitter.com/DollarVigilante/status/772106959055155204		# #	
	Cheers Vigilantes! @ steemit @ iphooey @Crypto400 @ rashidaamahtull @ mauriciowolf13 @ EarthPermit # Anarchism # Voluntaryism	DollarVigilante	9	4	1472918931	772104078394556416	https://twitter.com/DollarVigilante/status/772104078394556416		# #	@ @ @Crypto400 @ @ @
	The Donald and The Deep State http://snip.ly/ow1tk # Activism	DollarVigilante	4	2	1472918292	772101395235348480	https://twitter.com/DollarVigilante/status/772101395235348480		#	
	# USA # Flouride # CrookedHillary # Trump Subscribe here--> http://buff.ly/1TFC7sO pic.twitter.com/MSBnD84vBY	DollarVigilante	7	3	1472916335	772093186617577472	https://twitter.com/DollarVigilante/status/772093186617577472		# # # #	
	Cheers Vigilantes! @ don4488 @ NamurReyes # Anarchism # Voluntaryism	DollarVigilante	1	0	1472915173	772088314182635520	https://twitter.com/DollarVigilante/status/772088314182635520		# #	@ @
	Survive the Disasters of 2016 the New TDV Survival Based Video Library https://www.dollarvigilante.com/blog/2016/04/11/survive-the-disasters-of-2016-with-our-new-tdv-survival-based-video-library.html …pic.twitter.com/7W4zmnrEKK	DollarVigilante	9	1	1472908653	772060969212215296	https://twitter.com/DollarVigilante/status/772060969212215296			
	# HillaryClinton # Trump Time to subscribe to TDV http://buff.ly/1TFC7sO pic.twitter.com/nNNQtsBVo4	DollarVigilante	9	0	1472908113	772058702878806016	https://twitter.com/DollarVigilante/status/772058702878806016		# #	
	Cheers Vigilantes! @ ElectroPig @ BadgoyNSF @ Single1DAD @paulsmith031158 @ gamathers @ Holmesdonna1 # Anarchism # Voluntaryism	DollarVigilante	4	1	1472902000	772033061177421825	https://twitter.com/DollarVigilante/status/772033061177421825		# #	@ @ @ @paulsmith031158 @ @
	# TDV # Quotes Subscribe--> http://buff.ly/1TFC7sO pic.twitter.com/SlI8DcUfcu	DollarVigilante	10	6	1472899891	772024218611572736	https://twitter.com/DollarVigilante/status/772024218611572736		# #	
	Could The # Internet Be Set To Be Shut Down On The Eve of October 1st? https://www.dollarvigilante.com/blog/2016/08/29/internet-set-shut-eve-jubilee-october-1st.html …pic.twitter.com/NufQoGKIwC	DollarVigilante	8	6	1472897854	772015672217985024	https://twitter.com/DollarVigilante/status/772015672217985024		#	
	Apocalyptic Countdown Discovered a Secret Code Yet To Be Deciphered??http://ift.tt/2c239fK	DollarVigilante	5	2	1472897622	772014698485125120	https://twitter.com/DollarVigilante/status/772014698485125120			
	# HillaryClinton # Trump # Politics Subscribe here--> http://buff.ly/1TFC7sO pic.twitter.com/VZ0WDPPCAE	DollarVigilante	3	0	1472891671	771989740782546944	https://twitter.com/DollarVigilante/status/771989740782546944		# # #	
	Elite's Jubilee Year Plan to Crash the World # Economy # Shemitah https://www.dollarvigilante.com/blog/2016/03/29/super-shemitah-elites-jubilee-year-plan-to-crash-world-economy-by-october-2016-video-released.html …pic.twitter.com/NEMN2oY4Sw	DollarVigilante	10	4	1472887050	771970358543089664	https://twitter.com/DollarVigilante/status/771970358543089664		# #	
	# TDV # Quotes Subscribe--> http://buff.ly/1TFC7sO pic.twitter.com/sD1UA399LI	DollarVigilante	6	4	1472883450	771955259929485312	https://twitter.com/DollarVigilante/status/771955259929485312		# #	
	# Venezuela In chaos With Work Camps and 1000% # Inflation https://www.dollarvigilante.com/blog/2016/08/04/venezuela-chaos-work-camps-1000-inflation-coming-soon-west-2.html …pic.twitter.com/oFeXorMO8A	DollarVigilante	7	14	1472876250	771925059350958080	https://twitter.com/DollarVigilante/status/771925059350958080		# #	
	# TDV # Quotes http://dollarvigilante.com pic.twitter.com/n5EEmNAlKr	DollarVigilante	6	2	1472875550	771922121329115137	https://twitter.com/DollarVigilante/status/771922121329115137		# #	
	# TDV # Quotes Subscribe--> http://buff.ly/1TFC7sO pic.twitter.com/W6lsItm1KE	DollarVigilante	7	2	1472871041	771903210743271424	https://twitter.com/DollarVigilante/status/771903210743271424		# #	
	ALERT: U.S. CDC Giving Itself Unconstitutional POWERS to Round Up and Detain Citizens En Masse Anytime, Anywhere And Throw Away the Key …	DollarVigilante	14	16	1472869987	771898791746088960	https://twitter.com/DollarVigilante/status/771898791746088960			
	Jumping Ship: Two Central Banks Just Printed Billions In Paper Currency… And Immediately Bought Gold Mining Stocks With It …	DollarVigilante	18	12	1472869884	771898360521428992	https://twitter.com/DollarVigilante/status/771898360521428992			
	Interview with the Legendary Doug Casey. # Anarchism # Economy https://www.dollarvigilante.com/blog/2016/03/30/exclusive-interviews-with-the-legendary-doug-casey-crisis-coming-by-this-fall.html …pic.twitter.com/uZo3lAahol	DollarVigilante	14	4	1472865460	771879801586118656	https://twitter.com/DollarVigilante/status/771879801586118656		# #	
	What is more important? # Economics # LGBT Subscribe--> http://buff.ly/1TFC7sO pic.twitter.com/NoodQFre4N	DollarVigilante	13	8	1472862820	771868730942951424	https://twitter.com/DollarVigilante/status/771868730942951424		# #	
	Audacious Clinton Campaign Accuses Trump of Running Pay-to-Play as Private Citizenhttp://ift.tt/2bLyV0E	DollarVigilante	11	2	1472862789	771868599099256832	https://twitter.com/DollarVigilante/status/771868599099256832			
	Guccifer’s Smoking Gun Nails Democratic Party In Benghazi Cover Uphttp://ift.tt/2cmCw6X	DollarVigilante	10	5	1472861907	771864900792676352	https://twitter.com/DollarVigilante/status/771864900792676352			
	Dear Mr. Weiner: Porn Site Offers Former Congressman a Job http://ift.tt/2c8kV1W	DollarVigilante	4	2	1472860104	771857340073140224	https://twitter.com/DollarVigilante/status/771857340073140224			
	FBI REPORT: TOR USER BREACHED HILLARY’S SERVER http://ift.tt/2bZSLpF	DollarVigilante	6	0	1472859252	771853764420636672	https://twitter.com/DollarVigilante/status/771853764420636672			
	Cheers Vigilantes! @ rafvantongerloo @ TraderStef @ rayvahey @ FredOneonine @ RobDuncan2000 @ Aurini # Anarchism # Voluntaryism	DollarVigilante	8	3	1472857304	771845592649728000	https://twitter.com/DollarVigilante/status/771845592649728000		# #	@ @ @ @ @ @
	CIA Agent Was Among Watergate Burglars, Documents Revealhttp://ift.tt/2bWIvLM	DollarVigilante	5	3	1472856810	771843521263308800	https://twitter.com/DollarVigilante/status/771843521263308800			
	Incompetent Clinton Claims No Training on Handling Classified Docs, Lacks Basic Logic http://ift.tt/2cmsBOK	DollarVigilante	9	2	1472856486	771842163873312768	https://twitter.com/DollarVigilante/status/771842163873312768			
	Twitter Questions # ClintonsMemory, After She Told the FBI She Can’t Remember Briefingshttp://ift.tt/2c1cDYH	DollarVigilante	11	4	1472855901	771839710272581633	https://twitter.com/DollarVigilante/status/771839710272581633		#	
	Cheers Vigilantes! @ amandajnmaui @ delaynelee @ Jatzel09 @ TrueEconomic @ Chlanandria @ NicoDAgris # Anarchism # Voluntaryism	DollarVigilante	3	2	1472855567	771838307508613124	https://twitter.com/DollarVigilante/status/771838307508613124		# #	@ @ @ @ @ @
	FBI Releases Clinton Investigation Documents That Prove Shes Guilty http://ift.tt/2bLkj1i	DollarVigilante	7	1	1472854687	771834617645203457	https://twitter.com/DollarVigilante/status/771834617645203457			
	Jim Rogers Predicts Trillion Dollar Biblical Crash # Investing https://www.dollarvigilante.com/blog/2016/05/24/first-soros-now-jim-rogers-predicts-trillion-dollar-biblical-crash-2.html …pic.twitter.com/Cm9J0j1bSx	DollarVigilante	18	3	1472854659	771834500309483520	https://twitter.com/DollarVigilante/status/771834500309483520		#	
	# TDV # Quotes http://dollarvigilante.com pic.twitter.com/emhjbq09pR	DollarVigilante	8	3	1472854602	771834259522916355	https://twitter.com/DollarVigilante/status/771834259522916355		# #	
	Monetary Experiment Creating Mother Of All Crises: “Negative Rates Phenomenally Good for Gold and Silver” http://snip.ly/zzgq8 # SHTF	DollarVigilante	13	0	1472853721	771830564693368832	https://twitter.com/DollarVigilante/status/771830564693368832		#	
	wait this is a huge story. a problem with the Olympic pool in Rio that created disadvantage depending on lane https://www.washingtonpost.com/news/wonk/wp/2016/09/01/these-charts-clearly-show-how-some-olympic-swimmers-may-have-gotten-an-unfair-advantage/ …	readDanwrite	3	5	1472917726	772099022215602178	https://twitter.com/readDanwrite/status/772099022215602178			
	Surface ice on Ceres: http://www.jpl.nasa.gov/news/news.php?feature=6611 … Turn it into ice rockets: http://szabo.best.vwh.net/comet.mining.html … http://unenumerated.blogspot.de/2006/12/go-native.html …	NickSzabo4	15	19	1472879766	771939805089366017	https://twitter.com/NickSzabo4/status/771939805089366017			
	Other direction better (and will teach us skills we need to later mine the heavens): http://unenumerated.blogspot.com/2011/02/some-speculations-on-frontier-below-our.html … http://szabo.best.vwh.net/miningthevastydeep.html …	NickSzabo4	3	0	1472877802	771931570521444352	https://twitter.com/NickSzabo4/status/771931570521444352			
	Trusted third parties are security holes: https://www.troyhunt.com/the-dropbox-hack-is-real/ … https://twitter.com/NickSzabo4/status/771379526773317632 … http://szabo.best.vwh.net/ttps.html	NickSzabo4	22	22	1472877078	771928530938658817	https://twitter.com/NickSzabo4/status/771928530938658817			
	The science news cycle (ht @ rohitguptahpf) https://pbs.twimg.com/media/CrWduL3WAAE7wlE.jpg …	NickSzabo4	10	12	1472875746	771922945178349568	https://twitter.com/NickSzabo4/status/771922945178349568			@
bitcoin 	"Local ""mom & pop"" exchanges are becoming the best way to get into Bitcoin for those who need it most: ht @ Xentagzpic.twitter.com/6L8PfpzbOY"	NickSzabo4	62	45	1472859789	771856017688629248	https://twitter.com/NickSzabo4/status/771856017688629248			@
	Astronauts on Mars would be fun, but a dead end like Apollo and the Zheng He fleets: http://unenumerated.blogspot.com/2006/10/how-to-succeed-or-fail-on-frontier.html … http://unenumerated.blogspot.com/2009/04/polynesians-vs-adam-smith.html …	NickSzabo4	27	24	1472856116	771840610835701760	https://twitter.com/NickSzabo4/status/771840610835701760			
	In this graph, blockchain = DLT. so you think @ Gartner_inc is not a serious firm?	sbmeunier	1	0	1472939560	772190602175938560	https://twitter.com/sbmeunier/status/772190602175938560			@
	Gartner hype cycle: # blockchain almost at peak # fintech # insurtechpic.twitter.com/AuOw65frZz	sbmeunier	42	58	1472937906	772183662729232385	https://twitter.com/sbmeunier/status/772183662729232385		# # #	
	Hardware Oracles: bridging the Real World to the # Blockchain # fintech https://blog.ledger.co/hardware-oracles-bridging-the-real-world-to-the-blockchain-ca97c2fc3e6c#.prliolkdj …pic.twitter.com/MgeRlXbE6D	sbmeunier	23	33	1472934613	772169849569181696	https://twitter.com/sbmeunier/status/772169849569181696		# # #	
	Why # blockchain is central to the future of finance # fintech by WEF @ rjmcwatershttps://www.weforum.org/agenda/2016/08/why-blockchain-is-the-future-of-financial-infrastructure-and-why-that-s-more-exciting-than-it-sounds …	sbmeunier	15	20	1472931408	772156407789551616	https://twitter.com/sbmeunier/status/772156407789551616		# #	@
	Mortgages? You need capital, risk assessment & compliance. U could have new actors but business won't change	sbmeunier	1	0	1472925048	772129731026292738	https://twitter.com/sbmeunier/status/772129731026292738			
	cool, what is the next step?	sbmeunier	0	0	1472924512	772127483579797505	https://twitter.com/sbmeunier/status/772127483579797505			
	(Ironically) the # Blockchain is Perfect for # Government Services (Here’s a Blueprint) @ wmougayar # fintechhttp://www.coindesk.com/blockchain-perfect-government-services-heres-blueprint/ …	sbmeunier	22	27	1472924279	772126505929412608	https://twitter.com/sbmeunier/status/772126505929412608		# # #	@
	22 # Startups Providing Mobile-Centric Insurance Tech # insurtech # fintech @ CBinsights https://www.cbinsights.com/blog/insurance-tech-mobile-startups/ …pic.twitter.com/9fhG1yFq12	sbmeunier	6	15	1472920220	772109482650398720	https://twitter.com/sbmeunier/status/772109482650398720		# # #	@
	How Cognitive Computing Can Transform Businesses # fintech # insurtech @ LetsTalkPaymntshttp://ow.ly/PuHk303RErJ	sbmeunier	8	12	1472916007	772091811221438464	https://twitter.com/sbmeunier/status/772091811221438464		# #	@
	# Bots Aren't Ready To Be Bankers (yet) # fintech # AI http://blogs.forrester.com/peter_wannemacher/16-08-31-why_most_banks_should_not_yet_roll_out_bots …pic.twitter.com/FV7Ho1YpcE	sbmeunier	14	28	1472912382	772076607897034752	https://twitter.com/sbmeunier/status/772076607897034752		# # #	
	. @ TerepacCorp and @ nucoFuture Team Up to Bring # Blockchain Technology to Internet of Things # IoThttp://www.coinspeaker.com/2016/09/01/terepac-and-nuco-team-up-to-bring-blockchain-technology-to-internet-of-things/ …	sbmeunier	4	17	1472909652	772065158550159360	https://twitter.com/sbmeunier/status/772065158550159360		# #	@ @
	Good call Credit Unions partner to create their CU Ledger # fintech # blockchain # identity @ evernymhttp://www.coindesk.com/credit-unions-seek-become-first-market-consumer-blockchain/ …	sbmeunier	12	17	1472903899	772041029205843968	https://twitter.com/sbmeunier/status/772041029205843968		# # #	@
	# FF top # fintech influencers by @ Onalytica http://www.onalytica.com/blog/posts/fintech-2016-top-100-influencers-brands/ …pic.twitter.com/zN2dTOxDPT	sbmeunier	55	55	1472855444	771837794389987328	https://twitter.com/sbmeunier/status/771837794389987328		# #	@
	. @ Worldpay Announces ‘Hackathon’ for Internet of Things # fintech # IoThttp://paymentweek.com/2016-9-2-worldpay-announces-hackathon-for-internet-of-things-11379/ …	sbmeunier	11	14	1472853642	771830233460858881	https://twitter.com/sbmeunier/status/771830233460858881		# #	@
	thanking my lucky stars (pours vodka into aperol spritz, takes Xanax)	Melt_Dem	2	0	1472921482	772114775337754624	https://twitter.com/Melt_Dem/status/772114775337754624			
bitcoin 	of course, @ BitcoinErrorLogpic.twitter.com/44OjBZYPg0	Melt_Dem	2	0	1472920335	772109965267959808	https://twitter.com/Melt_Dem/status/772109965267959808			@
	off the grid on a straight aperol spritz diet 'til monday - summer isn't over yet!	Melt_Dem	12	0	1472919287	772105569574522881	https://twitter.com/Melt_Dem/status/772105569574522881			
	right on. and I gather from friends that Yahoo was always confused about what it was.	el33th4xor	0	0	1472934918	772171132472623104	https://twitter.com/el33th4xor/status/772171132472623104			
	not relative to old media cos.	el33th4xor	0	0	1472934690	772170172836831233	https://twitter.com/el33th4xor/status/772170172836831233			
	TW is the kiss of death. As a successful monopoly, the only thing they need to/should/do buy are lawmakers.	el33th4xor	1	0	1472934652	772170016133447680	https://twitter.com/el33th4xor/status/772170016133447680			
	that would never have worked and it didn't.	el33th4xor	0	0	1472934458	772169203289878528	https://twitter.com/el33th4xor/status/772169203289878528			
	no, it doesn't work that way. Old industry buys foothold in new territory.	el33th4xor	1	0	1472934305	772168560768679936	https://twitter.com/el33th4xor/status/772168560768679936			
	yeah well, there's a reason for that. CNN (or News Corp or any old media co) can do a leveraged buyout.	el33th4xor	1	0	1472934173	772168007632183296	https://twitter.com/el33th4xor/status/772168007632183296			
	The whole Twitter buyout discussion is dumb. The company that needs to buy Twitter is CNN. Not Microsoft, Apple, FB, and not even Google.	el33th4xor	22	8	1472933804	772166460064030720	https://twitter.com/el33th4xor/status/772166460064030720			
	yeah, terrible pop-ups. He should have picked a better name and a better site to get written up in :-).	el33th4xor	1	0	1472931372	772156256790441985	https://twitter.com/el33th4xor/status/772156256790441985			
bitcoin 	This guy should have picked a better name.http://www.livebitcoinnews.com/bitcoin-baron-indicted-for-several-ddos-attacks-against-us-cities/ …	el33th4xor	5	3	1472930491	772152563810664448	https://twitter.com/el33th4xor/status/772152563810664448			
bitcoin 	also see the Bitcoin-NG paper for metrics to quantify centralization.	el33th4xor	4	0	1472899065	772020751935438852	https://twitter.com/el33th4xor/status/772020751935438852			
bitcoin 	http://fc16.ifca.ai/bitcoin/papers/CDE+16.pdf …	el33th4xor	2	0	1472899014	772020540597006336	https://twitter.com/el33th4xor/status/772020540597006336			
	ha, to a first approx, no one works on new OS projects any more. Just a small tiny group of researchers.	el33th4xor	0	0	1472890329	771984111804227584	https://twitter.com/el33th4xor/status/771984111804227584			
	DNS has always been a shitshow. Huge amounts of federal money have been wasted on DNSSEC with nothing to show.https://twitter.com/tqbf/status/771918358342164480 …	el33th4xor	16	7	1472876419	771925767039188992	https://twitter.com/el33th4xor/status/771925767039188992			
	How to get 10% more gas mileage, cut your energy costs 10%, & save $4,000 with this: http://ow.ly/b9qT303Qqu0 # money # savings	laurashin	1	1	1472918485	772102205725741057	https://twitter.com/laurashin/status/772102205725741057		# #	
	thanks, u might like http://irishtechnews.net/ITN3/female-founders-epigentics-social-good-iot-blockchain-innovation-and-more-weekend-tech-review/ … @ SimonCocking @ Irish_TechNews look forward 2 featuring u interview soon?	SimonCocking	1	0	1472901352	772030346581925888	https://twitter.com/SimonCocking/status/772030346581925888			@ @
	@Hosting_Mike you might like http://irishtechnews.net/ITN3/female-founders-epigentics-social-good-iot-blockchain-innovation-and-more-weekend-tech-review/ … interested in featuring sometime? @ SimonCocking @ Irish_TechNews	SimonCocking	1	0	1472901248	772029907413131264	https://twitter.com/SimonCocking/status/772029907413131264			@Hosting_Mike @ @
	@ MRding thanks for RT, you might like http://irishtechnews.net/ITN3/female-founders-epigentics-social-good-iot-blockchain-innovation-and-more-weekend-tech-review/ … interested in featuring sometime? @ SimonCocking @ Irish_TechNews	SimonCocking	1	0	1472901213	772029760767680512	https://twitter.com/SimonCocking/status/772029760767680512			@ @ @
	Seal up close from Cape Clear ferry https://capeclearbioblitz.wordpress.com/2016/09/01/seal-up-close-from-cape-clear-ferry/ … via @ CapeClearBioBtz	SimonCocking	2	2	1472901064	772029137015992321	https://twitter.com/SimonCocking/status/772029137015992321			@
	Cape Clear bioblitz website makes it to final of Irish Blog Awards https://capeclearbioblitz.wordpress.com/2016/09/01/cape-clear-bioblitz-website-makes-it-to-final-of-irish-blog-awards/ … via @ CapeClearBioBtz	SimonCocking	0	0	1472901040	772029037464223744	https://twitter.com/SimonCocking/status/772029037464223744			@
	Wow 17k views and counting. People want to know about # realestate 5 things your broker won't tell you! http://www.forbes.com/sites/greatspeculations/2016/09/02/five-things-real-estate-agents-wont-tell-you/#3cc26de35166 …	GerberKawasaki	12	2	1472935166	772172171938373632	https://twitter.com/GerberKawasaki/status/772172171938373632		# #3cc26de35166	
	haha. Maybe you should go kill some doves. You might feel better. I'll play my # OculusRift that works for me.	GerberKawasaki	0	0	1472935071	772171774079283200	https://twitter.com/GerberKawasaki/status/772171774079283200		#	
	no you don't. We have clients all over the country. 4450 and counting.	GerberKawasaki	1	0	1472935013	772171530562248705	https://twitter.com/GerberKawasaki/status/772171530562248705			
	# narcos and college # football. Except it's sunny and beautiful in LA. # enjoy $ nflx # ucla	GerberKawasaki	0	0	1472923268	772122268889559040	https://twitter.com/GerberKawasaki/status/772122268889559040		# # # #	
	# Airbnb sues # SantaMonica for protecting residence who live there against illegal hotels. Which is what # Airbnb is. https://www.google.com/amp/www.latimes.com/business/la-fi-airbnb-lawsuit-santa-monica-20160903-snap-story,amp.html?client=safari …	GerberKawasaki	0	0	1472920429	772110360031526912	https://twitter.com/GerberKawasaki/status/772110360031526912		# # #	
	so you'll be the bird and I'll get a shotgun. Same fairness. Let's do it.	GerberKawasaki	0	0	1472920242	772109575109554184	https://twitter.com/GerberKawasaki/status/772109575109554184			
	Which strategy will work better. $ fb or $ twtr. # live Facebook or Twitter. https://twitter.com/danarob55/status/772072122449616896 …	GerberKawasaki	1	0	1472912185	772075782910849024	https://twitter.com/GerberKawasaki/status/772075782910849024		#	
	brave man shooting doves. Be proud.	GerberKawasaki	0	0	1472911913	772074639241523205	https://twitter.com/GerberKawasaki/status/772074639241523205			
	Things you must know before you buy a house. # realestatehttp://www.forbes.com/sites/greatspeculations/2016/09/02/five-things-real-estate-agents-wont-tell-you/#2f5e458e5166 …	GerberKawasaki	7	4	1472910203	772067469833887744	https://twitter.com/GerberKawasaki/status/772067469833887744		# #2f5e458e5166	
	NOTA.	GerberKawasaki	0	0	1472910163	772067299121467396	https://twitter.com/GerberKawasaki/status/772067299121467396			
	@ themotleyfool BS ads.	GerberKawasaki	0	0	1472910129	772067157211422720	https://twitter.com/GerberKawasaki/status/772067157211422720			@
